models7 actual data first 30 rows/items


========================================================================================================================
CatBoost_test.parquet
========================================================================================================================
 recency_days  tenure_days  ndays  n_events  n_view  n_cart  n_remove_from_cart  n_purchase  avg_price  purch_amt  churn  user_id
     5.633148    20.668877    3.0       3.0     3.0     0.0                 0.0         0.0   8.440001   0.000000      1 27700601
     1.457512    94.959931   13.0      26.0    22.0     2.0                 2.0         0.0   6.064231   0.000000      0 27872944
     0.160972     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  49.209999   0.000000      1 29942948
     2.365648   105.021377    5.0      28.0    28.0     0.0                 0.0         0.0   8.671429   0.000000      1 32810273
     4.670521    89.850764    6.0       8.0     8.0     0.0                 0.0         0.0  95.752502   0.000000      0 33753375
     0.510938    86.014618    4.0      15.0     6.0     6.0                 1.0         2.0  11.185333  10.890000      1 35376580
     2.358553     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  13.020000   0.000000      1 36273411
     4.557431    84.243299    2.0       4.0     4.0     0.0                 0.0         0.0  34.900002   0.000000      1 38295379
     4.139144    33.052060    3.0       6.0     6.0     0.0                 0.0         0.0  70.683334   0.000000      1 39120688
     4.393970    20.144769    2.0       3.0     3.0     0.0                 0.0         0.0   5.020000   0.000000      0 40056480
     3.732072    96.989340    8.0      51.0    34.0    13.0                 4.0         0.0   8.523137   0.000000      1 40170958
     1.539688    59.697222    2.0      23.0     2.0     9.0                12.0         0.0   3.626956   0.000000      0 41696100
     2.425035   103.077801    3.0     159.0    11.0    85.0                 7.0        56.0   5.007547 228.100006      1 43713532
     4.035463     0.038993    1.0      11.0     7.0     4.0                 0.0         0.0   5.987273   0.000000      1 44682329
     4.564375    65.735810    8.0      34.0    26.0     5.0                 3.0         0.0  21.647942   0.000000      1 44764653
     5.327894     0.010278    1.0      11.0     9.0     2.0                 0.0         0.0   5.761818   0.000000      1 45796898
     4.737558     0.404410    2.0      20.0    10.0     5.0                 1.0         4.0  11.914000  49.930000      1 46032705
     4.202766   110.280405    8.0      47.0    43.0     4.0                 0.0         0.0   8.941064   0.000000      0 46383252
     2.280810    95.917708    7.0      48.0    29.0    13.0                 6.0         0.0   4.525416   0.000000      0 46577484
     0.144630     0.521887    1.0       7.0     6.0     1.0                 0.0         0.0  42.847141   0.000000      0 49163609
