우편번호,우편번호순서,도이름,시군구이름,읍면동이름,리건물이름,동호,전체주소
730862,21,경상북도,구미시,도개면,월림리,,경상북도 구미시 도개면 월림리
730862,11,경상북도,구미시,도개면,신곡리,,경상북도 구미시 도개면 신곡리
730862,31,경상북도,구미시,도개면,궁기리,,경상북도 구미시 도개면 궁기리
730862,1,경상북도,구미시,도개면,궁기1리,,경상북도 구미시 도개면 궁기1리
730863,31,경상북도,구미시,도개면,신림리,,경상북도 구미시 도개면 신림리
730863,21,경상북도,구미시,도개면,도개리,,경상북도 구미시 도개면 도개리
730863,11,경상북도,구미시,도개면,다곡리,,경상북도 구미시 도개면 다곡리
730863,1,경상북도,구미시,도개면,궁기2리,,경상북도 구미시 도개면 궁기2리
730870,1,경상북도,구미시,해평면,,,경상북도 구미시 해평면
730871,61,경상북도,구미시,해평면,오상리,,경상북도 구미시 해평면 오상리
730871,41,경상북도,구미시,해평면,문량리,,경상북도 구미시 해평면 문량리
730871,21,경상북도,구미시,해평면,금산리,,경상북도 구미시 해평면 금산리
730871,1,경상북도,구미시,해평면,괴곡리,,경상북도 구미시 해평면 괴곡리
730872,91,경상북도,구미시,해평면,창림리,,경상북도 구미시 해평면 창림리
730872,81,경상북도,구미시,해평면,일선리,,경상북도 구미시 해평면 일선리
730872,71,경상북도,구미시,해평면,월곡리,,경상북도 구미시 해평면 월곡리
730872,51,경상북도,구미시,해평면,송곡리,,경상북도 구미시 해평면 송곡리
730872,41,경상북도,구미시,해평면,산양리,,경상북도 구미시 해평면 산양리
730872,21,경상북도,구미시,해평면,낙산리,,경상북도 구미시 해평면 낙산리
730872,1,경상북도,구미시,해평면,금호리,,경상북도 구미시 해평면 금호리
730873,51,경상북도,구미시,해평면,해평리,,경상북도 구미시 해평면 해평리
730873,41,경상북도,구미시,해평면,월호리,,경상북도 구미시 해평면 월호리
730873,21,경상북도,구미시,해평면,도문리,,경상북도 구미시 해평면 도문리
730873,1,경상북도,구미시,해평면,낙성리,,경상북도 구미시 해평면 낙성리
730901,1,경상북도,구미시,공단1동,,1~114,경상북도 구미시 공단1동 1~114
730902,1,경상북도,구미시,공단1동,,115~184,경상북도 구미시 공단1동 115~184
730903,1,경상북도,구미시,공단2동,,185~209,경상북도 구미시 공단2동 185~209
730904,11,경상북도,구미시,공단2동,,257~266,경상북도 구미시 공단2동 257~266
730904,1,경상북도,구미시,공단2동,,210~254,경상북도 구미시 공단2동 210~254
730905,1,경상북도,구미시,공단2동,,255~256,경상북도 구미시 공단2동 255~256
730906,1,경상북도,구미시,공단2동,,267~330,경상북도 구미시 공단2동 267~330
730907,1,경상북도,구미시,도량동,,1~89,경상북도 구미시 도량동 1~89
730908,1,경상북도,구미시,도량동,,90~500,경상북도 구미시 도량동 90~500
730909,11,경상북도,구미시,도량동,,793~820,경상북도 구미시 도량동 793~820
730909,1,경상북도,구미시,도량동,,501~791,경상북도 구미시 도량동 501~791
