ep,lr,nodes,layers,act,corr,mse
5000,0.001,5,3,softplus,0.8719,0.009866
2000,0.001,32,3,softplus,0.8703,0.010066
5000,0.001,5,2,sigmoid,0.8664,0.010307
5000,0.001,5,1,softplus,0.8639,0.010463
2000,0.001,64,2,softplus,0.8613,0.010691
2000,0.001,5,2,tanh,0.8529,0.01132
5000,0.005,5,2,relu,0.857,0.011549
2000,0.001,32,1,tanh,0.8473,0.011666
2000,0.001,32,1,softplus,0.8424,0.012012
5000,0.001,5,1,sigmoid,0.839,0.012269
2000,0.001,5,1,tanh,0.8374,0.012396
2000,0.001,32,3,sigmoid,0.8314,0.012777
2000,0.001,32,2,softplus,0.829,0.012975
2000,0.001,64,1,softplus,0.8251,0.013221
2000,0.001,64,1,sigmoid,0.8198,0.013589
5000,0.001,5,3,sigmoid,0.8073,0.014456
2000,0.001,32,2,sigmoid,0.7695,0.017033
2000,0.001,32,1,sigmoid,0.7643,0.017359
2000,0.001,5,2,softplus,0.7588,0.017742
2000,0.001,5,2,sigmoid,0.7501,0.01824
2000,0.01,5,1,relu,0.7473,0.018479
5000,0.01,5,1,relu,0.7473,0.018479
2000,0.001,5,1,softplus,0.7437,0.018695
2000,0.001,5,1,sigmoid,0.7421,0.018774
2000,0.001,5,3,softplus,0.7413,0.018815
2000,0.001,5,3,sigmoid,0.6974,0.027456
