"Topic","RelativePath","Extension","SizeBytes"
"housing","from_colab_deep_learning\0608-s\housing.csv",".csv","31859"
"housing","from_colab_deep_learning\0608-s\housing_pytorch_dnn.ipynb",".ipynb","360544"
"housing","from_colab_deep_learning\0608-s\housing_pytorch_dnn-실습.ipynb",".ipynb","1352400"
"housing","from_colab_deep_learning\0608-s\housing_pytorch_dnn-실습2.ipynb",".ipynb","1505842"
"iris","from_colab\0527\iris_random_forest_model.pkl",".pkl","167745"
"iris","from_colab\0527\iris_scaler.pkl",".pkl","1047"
"iris","from_colab\0529-s\iris_logistic_regression_pytorch.ipynb",".ipynb","140816"
"iris","from_colab\0601-s\iris_logistic_regression_pytorch.ipynb",".ipynb","142325"
"iris","from_colab\0605-s\uci_iris_torch_kmeans_clustering_colab.ipynb",".ipynb","20818"
"iris","ml_data_preprocessing\from_colab\iris_random_forest_model.pkl",".pkl","167713"
"iris","ml_data_preprocessing\from_colab\iris_scaler.pkl",".pkl","999"
"mnist/fashionmnist","from_colab_deep_learning\0610-s\mnist_torch_detailed.ipynb",".ipynb","139267"
"mnist/fashionmnist","from_colab_deep_learning\0610-s\mnist_torch_detailed_최적화(Bayesian Optimaization).ipynb",".ipynb","11832"
"mnist/fashionmnist","from_colab_deep_learning\0610-s\mnist_torch_detailed_최적화(Bayesian Optimaization)_개선판.ipynb",".ipynb","26347"
"mnist/fashionmnist","from_colab_deep_learning\0611-s\FashionMNIST_실습문제.pdf",".pdf","576791"
"naive_bayes","from_colab\0529-s\pytorch_naive_bayes_sms_spam.ipynb",".ipynb","109743"
"neural_network","from_colab_deep_learning\0609-s\2_딥러닝_신경망알고리즘_계층구조.pdf",".pdf","1136521"
"neural_network","from_colab_deep_learning\0609-s\NN_Spiral_Multiclass_torch.ipynb",".ipynb","310739"
"neural_network","from_colab_deep_learning\0609-s\NN_Spiral_Multiclass_torch_실습.ipynb",".ipynb","338701"
"neural_network","from_colab_deep_learning\0609-s\NN_Spiral_Multiclass_torch_실습문제.txt",".txt","49174"
"neural_network","from_colab_deep_learning\0611-s\dnn_gan_torch.ipynb",".ipynb","34393"
"neural_network","from_colab_deep_learning\0611-s\fashion_pytorch_cnn_optuna.ipynb",".ipynb","31128"
"neural_network","from_colab_deep_learning\0611-s\fashion_pytorch_cnn_실습문제.txt",".txt","40223"
"neural_network","from_colab_deep_learning\0611-s\fashion_pytorch_cnn_실습완.ipynb",".ipynb","256896"
"neural_network","from_colab\0602-s\ANN_torch.ipynb",".ipynb","247805"
"neural_network","from_colab\0602-s\ANN_torch_실습-2.ipynb",".ipynb","63729"
"neural_network","from_colab\0602-s\ANN_torch_실습-3.ipynb",".ipynb","64263"
"neural_network","from_colab\0602-s\ANN_torch_실습-4.ipynb",".ipynb","187206"
"neural_network","from_colab\0602-s\ANN_torch-실습.ipynb",".ipynb","263052"
"neural_network","from_colab\0602-s\ANN_torch-실습-.ipynb",".ipynb","85874"
"neural_network","from_colab\0602-s\ANN_그리드서치_결과.md",".md","2104"
"neural_network","from_colab\0602-s\ANN_실습문제.md",".md","20897"
"neural_network","from_colab\0602-s\knn_pca_full_output.py",".py","8112"
"subway","from_colab\0528_data\subway\subway_test.csv",".csv","23872"
"subway","from_colab\0528_data\subway\subway_train.csv",".csv","71143"
"subway","from_colab\0528-s\_subway_tune.py",".py","9953"
"subway","from_colab\0528-s\subway_submission_nn.csv",".csv","8395"
"subway","from_colab\0528-s\subway_submission_v2.csv",".csv","11052"
"subway","from_colab\0528-s\서울지하철이용자수예측회귀모델.ipynb",".ipynb","321664"
"subway","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned.ipynb",".ipynb","331141"
"subway","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned-0.ipynb",".ipynb","333362"
"subway","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned-1.ipynb",".ipynb","341577"
"subway","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned-2.ipynb",".ipynb","16176"
"svm","from_colab\0529-s\pytorch_svm_letter_classification.ipynb",".ipynb","212914"
"svm","from_colab\0529-s\pytorch_svm_letter_classification_우편번호분류기-과제완.ipynb",".ipynb","280329"
"svm","from_colab\0529-s\pytorch_svm_letter_classification-0.ipynb",".ipynb","228353"
"svm","from_colab\0529-s\pytorch_svm_letter_classification-우편번호분류기.ipynb",".ipynb","155332"
"time_series_lstm","from_colab_deep_learning\0611-s\airline_lstm_pytorch.ipynb",".ipynb","40028"
"titanic","from_colab\0528_data\titanic\test.csv",".csv","28629"
"titanic","from_colab\0528_data\titanic\train.csv",".csv","61194"
"torch_basics","from_colab_deep_learning\0612-s\Autograd_matplotlib.ipynb",".ipynb","27949"
"torch_basics","from_colab_deep_learning\0612-s\Autograd_matplotlib_랜덤시드실험.ipynb",".ipynb","146276"
"torch_basics","from_colab_deep_learning\0612-s\Autograd_wandb.ipynb",".ipynb","25980"
"torch_basics","from_colab_deep_learning\0612-s\hello_tensor_배포용.ipynb",".ipynb","32850"
"torch_basics","from_colab_deep_learning\0612-s\hello_tensor_코드입력완료.ipynb",".ipynb","182161"
"torch_basics","from_colab_deep_learning\0612-s\Tensor_Autograd.ipynb",".ipynb","8977"
"tree_models","from_colab\0601-s\decision_tree_torch.ipynb",".ipynb","191627"
"tree_models","from_colab\0601-s\decision_tree_torch-실습.ipynb",".ipynb","133046"
"tree_models","from_colab\0601-s\decision_tree_torch-실습-end.ipynb",".ipynb","315876"
"tree_models","from_colab\0601-s\regression_tree_torch.ipynb",".ipynb","189755"
"tree_models","from_colab\0601-s\regression_tree_torch-과제.ipynb",".ipynb","178908"
"tree_models","from_colab\0601-s\regression_tree_torch-과제_backup_before_tuning.ipynb",".ipynb","213724"
"tree_models","from_colab\0601-s\의사결정트리_실습문제1.txt",".txt","6334"
"tree_models","from_colab\0601-s\의사결정트리_실습문제1-1.txt",".txt","11614"
"tree_models","from_colab\0601-s\회귀트리_성능향상.ipynb",".ipynb","208609"
"tree_models","from_colab\0601-s\회귀트리_실습문제.txt",".txt","10871"
"tree_models","from_colab\0602-s\decision_tree_torch_adaboost_added.ipynb",".ipynb","238953"
"tree_models","from_colab\0602-s\decision_tree_torch_bagging_added.ipynb",".ipynb","240202"
"tree_models","from_colab\0602-s\decision_tree_torch_gradient_boosting_added.ipynb",".ipynb","239547"
"tree_models","from_colab\0602-s\decision_tree_torch_random_forest_added.ipynb",".ipynb","239024"
"uncategorized","from_colab_deep_learning\0608-s\1_딥러닝개념_프레임워크설치.pdf",".pdf","2598507"
"uncategorized","from_colab_deep_learning\0609-s\1.ipynb",".ipynb","16297"
"uncategorized","from_colab_deep_learning\0609-s\1d_neurial_cubic_torch.ipynb",".ipynb","238042"
"uncategorized","from_colab_deep_learning\0609-s\1d_neurial_cubic_torch_실습.ipynb",".ipynb","234941"
"uncategorized","from_colab_deep_learning\0609-s\1d_neurial_cubic_torch_실습.txt",".txt","13867"
"uncategorized","from_colab_deep_learning\0609-s\1d_neurial_quadratic_torch.ipynb",".ipynb","145293"
"uncategorized","from_colab_deep_learning\0609-s\activation_functions_pytorch.ipynb",".ipynb","553349"
"uncategorized","from_colab_deep_learning\0609-s\numpy_percept_logical_gate.ipynb",".ipynb","11446"
"uncategorized","from_colab_deep_learning\0609-s\실습문제_답안.txt",".txt","4679"
"uncategorized","from_colab_deep_learning\0610-s\3_딥러닝_데이터처리와데이터셋.pdf",".pdf","2262451"
"uncategorized","from_colab_deep_learning\0610-s\5.bmp",".bmp","174"
"uncategorized","from_colab_deep_learning\0610-s\matrix_torch.ipynb",".ipynb","80110"
"uncategorized","from_colab_deep_learning\0610-s\torch_dataset_fruit_classifier.ipynb",".ipynb","152492"
"uncategorized","from_colab_deep_learning\0611-s\4_딥러닝_네트워크모델설계.pdf",".pdf","577995"
"uncategorized","from_colab_deep_learning\0611-s\fashion_pytorch_cnn.ipynb",".ipynb","256500"
"uncategorized","from_colab_deep_learning\0611-s\pytorch_loss_functions.ipynb",".ipynb","25758"
"uncategorized","from_colab_deep_learning\0611-s\pytorch_loss_functions_optuna.ipynb",".ipynb","29260"
"uncategorized","from_colab_deep_learning\0612-s\5_딥러닝_모델훈련및평가.pdf",".pdf","2898972"
"uncategorized","from_colab\0527\ML_sample.ipynb",".ipynb","512724"
"uncategorized","from_colab\0527\ml_sample.py",".py","9306"
"uncategorized","from_colab\0528_data\data.zip",".zip","68000"
"uncategorized","from_colab\0528\pytorch_basic_using.ipynb",".ipynb","62917"
"uncategorized","from_colab\0528\pytorch_basic_using.py",".py","8059"
"uncategorized","from_colab\0528\Regression_and_Classification_Model_Hands_on.ipynb",".ipynb","2583"
"uncategorized","from_colab\0528\regression_and_classification_model_hands_on.py",".py","1163"
"uncategorized","from_colab\0528-s\pytorch_basic_using.ipynb",".ipynb","44250"
"uncategorized","from_colab\0528-s\타이타닉분류모델.ipynb",".ipynb","258513"
"uncategorized","from_colab\0528-s\화면 캡처 2026-05-29 091611.png",".png","32764"
"uncategorized","from_colab\0528-s\화면 캡처 2026-05-29 112625.png",".png","165014"
"uncategorized","from_colab\0528-s\회귀및분류모델실습.ipynb",".ipynb","167827"
"uncategorized","from_colab\0529-s\content\data\국가데이터처_나라통계_우편번호_20211110.csv",".csv","4266473"
"uncategorized","from_colab\0529-s\data.zip",".zip","253813"
"uncategorized","from_colab\0529-s\data\opt_letterdata.csv",".csv","732670"
"uncategorized","from_colab\0529-s\과제.zip",".zip","849372"
"uncategorized","from_colab\0529-s\국가데이터처_나라통계_우편번호_20211110.csv",".csv","4266473"
"uncategorized","from_colab\0529-s\나이브베이즈 라플라스 스무딩\ls-0.1.png",".png","246900"
"uncategorized","from_colab\0529-s\나이브베이즈 라플라스 스무딩\화면 캡처 2026-05-29 150819.png",".png","150836"
"uncategorized","from_colab\0529-s\실습문제.txt",".txt","1140"
"uncategorized","from_colab\0601-s\_quick_tune.py",".py","4068"
"uncategorized","from_colab\0601-s\_tune_search.py",".py","4169"
"uncategorized","from_colab\0601-s\5_머신러닝_알고리즘_앙상블.pdf",".pdf","1317696"
"uncategorized","from_colab\0601-s\backpropagation_torch_colab.ipynb",".ipynb","63750"
"uncategorized","from_colab\0601-s\regression_model_torch.ipynb",".ipynb","702480"
"uncategorized","from_colab\0602-s\grid_results.csv",".csv","8424"
"uncategorized","from_colab\0605-s\7_머신러닝_비지도학습알고리즘.pdf",".pdf","1248226"
"uncategorized","from_colab\0605-s\실습_7_작업중.ipynb",".ipynb","612194"
"uncategorized","from_colab\0605-s\실습문제_7.ipynb",".ipynb","1313452"
"uncategorized","from_colab\test.py",".py","223"
"uncategorized","ml_data_preprocessing\01_missing_values.py",".py","2098"
"uncategorized","ml_data_preprocessing\02_outlier_iqr.py",".py","986"
"uncategorized","ml_data_preprocessing\03_outlier_zscore.py",".py","976"
"uncategorized","ml_data_preprocessing\04_minmax_scaling.py",".py","524"
"uncategorized","ml_data_preprocessing\05_label_encoding.py",".py","708"
"uncategorized","ml_data_preprocessing\from_colab\ML_sample.ipynb",".ipynb","512724"
"uncategorized","ml_data_preprocessing\from_colab\ml_sample.py",".py","9312"
"uncategorized","ml_data_preprocessing\ml_practice.py",".py","3006"
"uncategorized","ml_data_preprocessing\ml_practice2.py",".py","4302"
"uncategorized","ml_data_preprocessing\ML_sample_torch.py",".py","10678"
"uncategorized","ml_data_preprocessing\README.md",".md","519"
"uncategorized","ml_data_preprocessing\데이터전처리_codes.zip",".zip","4097"
"wine","from_colab\0527\test1_wine.ipynb",".ipynb","4706949"
"wine","from_colab\0527\test1_wine.py",".py","4783"
"wine","from_colab\0601-s\_wine_core_test.py",".py","5599"
"wine","from_colab\0601-s\_wine_grid_search.log",".log","0"
"wine","from_colab\0601-s\_wine_grid_search.py",".py","7526"
