"Root","RelativePath","Extension","SizeBytes","LastWriteTime"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\cifar10_torch_detailed.ipynb",".ipynb","55691","2026-06-10 09:06:10"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\cifar10_torch_detailed_optimized_mlp.ipynb",".ipynb","18881","2026-06-10 15:55:15"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\matrix_torch.ipynb",".ipynb","80110","2026-06-10 12:26:26"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\mnist_torch_detailed.ipynb",".ipynb","139267","2026-06-10 09:06:39"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\mnist_torch_detailed_최적화(Bayesian Optimaization).ipynb",".ipynb","11832","2026-06-10 14:19:55"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\mnist_torch_detailed_최적화(Bayesian Optimaization)_개선판.ipynb",".ipynb","26347","2026-06-10 15:41:15"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\torch_dataset_fruit_classifier.ipynb",".ipynb","152492","2026-06-10 09:06:50"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\4_딥러닝_네트워크모델설계.pdf",".pdf","577995","2026-06-11 09:07:35"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\airline_lstm_pytorch.ipynb",".ipynb","40028","2026-06-11 12:01:39"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\cifar10_cnn_pytorch.ipynb",".ipynb","47387","2026-06-11 13:59:29"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\dnn_gan_torch.ipynb",".ipynb","34393","2026-06-11 12:01:46"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\fashion_pytorch_cnn.ipynb",".ipynb","256500","2026-06-11 09:05:59"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\fashion_pytorch_cnn_optuna.ipynb",".ipynb","31128","2026-06-11 15:10:45"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\fashion_pytorch_cnn_실습문제.txt",".txt","40223","2026-06-12 00:12:49"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\fashion_pytorch_cnn_실습완.ipynb",".ipynb","256896","2026-06-12 00:16:24"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\FashionMNIST_실습문제.pdf",".pdf","576791","2026-06-11 13:59:36"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\pytorch_loss_functions.ipynb",".ipynb","25758","2026-06-11 09:05:50"
"from_colab_deep_learning","from_colab_deep_learning\0611-s\pytorch_loss_functions_optuna.ipynb",".ipynb","29260","2026-06-11 09:55:50"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\5_딥러닝_모델훈련및평가.pdf",".pdf","2898972","2026-06-12 09:06:21"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\Autograd_matplotlib.ipynb",".ipynb","27949","2026-06-12 09:04:05"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\Autograd_matplotlib_랜덤시드실험.ipynb",".ipynb","146276","2026-06-12 13:50:53"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\Autograd_wandb.ipynb",".ipynb","25980","2026-06-12 09:04:20"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\cifar10_cnn_adamw.pth",".pth","2493902","2026-06-12 17:21:28"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\cifar10_cnn_pytorch.ipynb",".ipynb","47387","2026-06-12 09:04:28"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\cifar10_cnn_pytorch_실습.txt",".txt","33414","2026-06-14 01:01:16"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\cifar10_cnn_tensorflow.ipynb",".ipynb","40535","2026-06-12 09:04:35"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\cifar-10-python.tar.gz",".gz","170498071","2026-06-12 17:27:08"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\hello_tensor_배포용.ipynb",".ipynb","32850","2026-06-12 11:45:46"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\hello_tensor_코드입력완료.ipynb",".ipynb","182161","2026-06-12 17:05:37"
"from_colab_deep_learning","from_colab_deep_learning\0612-s\Tensor_Autograd.ipynb",".ipynb","8977","2026-06-12 09:04:13"
"ml_data_preprocessing","ml_data_preprocessing\01_missing_values.py",".py","2098","2026-05-27 11:18:35"
